PRODUCT,SIZE,DELAY,PROFILE,PAYMENT,PROXIES
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,hsbc,card,resigame
316701629004,38.5,1,black_rev,card,resigame
316701629004,38.5,1,black_rev,card,resigame
316701629004,38.5,1,black_rev,card,resigame
316701629004,38.5,1,black_rev,card,resigame
316701629004,38.5,1,black_rev,card,resigame
316701629004,38.5,1,black_rev,card,resigame
316701629004,38.5,1,black_rev,card,resigame
316701629004,39,1,black_rev,card,resigame
316701629004,39,1,black_rev,card,resigame
316701629004,39,1,black_rev,card,resigame
316701629004,39,1,black_rev,card,resigame
316701629004,39,1,black_rev,card,resigame
316701629004,39,1,black_rev,card,resigame
316701629004,39,1,black_rev,card,resigame
316701629004,39,1,black_rev,card,resigame
316701629004,39,1,hsbc,card,resigame
316701629004,39,1,hsbc,card,resigame
316701629004,39,1,hsbc,card,resigame
316701629004,39,1,hsbc,card,resigame
316701629004,39,1,hsbc,card,resigame
316701629004,39,1,curve,card,resigame
316701629004,39,1,curve,card,resigame
316701629004,39,1,curve,card,resigame
316701629004,39,1,curve,card,resigame
316701629004,39,1,curve,card,resigame
316701629004,39,1,curve,card,resigame
316701629004,39,1,curve,card,resigame
316701629004,38.5,1,curve,card,resigame
316701629004,38.5,1,curve,card,resigame
316701629004,38.5,1,curve,card,resigame
316701629004,38.5,1,curve,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa1,card,resigame
316701629004,38.5,1,rev_visa2,card,resigame
316701629004,38.5,1,rev_visa2,card,resigame
316701629004,38.5,1,rev_visa2,card,resigame
316701629004,38.5,1,rev_visa2,card,resigame
316701629004,38.5,1,rev_visa2,card,resigame
316701629004,38.5,1,rev_visa3,card,resigame
316701629004,39,1,rev_visa3,card,resigame
316701629004,39,1,rev_visa3,card,resigame
316701629004,39,1,rev_visa3,card,resigame
316701629004,39,1,rev_visa3,card,resigame
316701629004,39,1,rev_visa3,card,resigame
316701629004,39,1,rev_visa3,card,resigame
316701629004,39,1,rev_visa3,card,resigame
316701629004,39,1,rev_visa3,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
316701629004,39,1,rev_visa4,card,resigame
